activity,n_occurrences,avg_days,median_days,p90_days,pct_of_avg_total_cycle_time
Medical records received,973,7.44,6.67,13.5,22.4
Documentation received,978,5.52,4.64,10.43,16.6
Adjuster review completed,3592,2.26,2.27,3.25,6.8
Payment processed,4552,1.77,1.71,2.68,5.3
Assigned to adjuster,3592,1.63,1.37,3.2,4.9
Manager review started,518,1.28,0.0,4.91,3.9
Adjuster revised estimate,50,1.27,1.25,1.88,3.8
Estimate prepared,3592,1.25,1.25,1.85,3.8
Denial letter sent,448,1.22,1.22,1.81,3.7
Sent back for revision,50,1.07,1.15,1.44,3.2
Manager review completed,518,1.04,1.07,1.41,3.1
Inspection completed,2619,1.01,1.01,1.4,3.0
Claim registered,5000,0.86,0.61,2.14,2.6
Inspection started,2619,0.76,0.0,2.54,2.3
Coverage decision recommended,3592,0.76,0.76,1.11,2.3
Initial triage completed,5000,0.7,0.7,1.1,2.1
Additional documentation requested,978,0.59,0.59,0.91,1.8
Medical records requested,973,0.51,0.51,0.74,1.5
Final coverage decision,3592,0.5,0.5,0.74,1.5
Inspection scheduled,2619,0.5,0.5,0.74,1.5
Submitted for manager review,468,0.35,0.35,0.48,1.1
Resubmitted for manager review,50,0.33,0.32,0.46,1.0
Claim closed,5000,0.3,0.3,0.46,0.9
Auto-approved (fast track),1408,0.29,0.29,0.46,0.9
